Consolidated Item List,,,,,,,,Commodity Type,Item Count,Item Type,Item Count
SHSS250C0022SS CU,1/4-20 X 1 3/8 SOCKET SET SCRW,STR,700,100,0,Fasteners,Screw,,,,
SHSS250C0024SS  CU,1/4-20 X 1 1/2 SOC SET SCREW,STR,700,"5,300",0,Fasteners,Screw,,,,
SHSS250C0048AY CU,"1/4-20 X 3"" SOCKET SET CUP PT",BBS,700,650,0,Fasteners,Screw,,,,
SHSS250F0004SS   CU,1/4-28 X 1/4 SOC SET CUP PT,BBS,700,193,0,Fasteners,Screw,,,,
SHSS250F0006SS CUNP,1/4-28X3/8 SOC SET SCS S/S,ACC-SP,700,26,0,Fasteners,Screw,,,,
SHSS312C0003AY CU,5/16-18 X 3/16 SOC SET CUP,CHI,700,200,0,Fasteners,Screw,,,,
SHSS312C0004AY  CU,5/16-18 X 1/4 SOC SET CUP PT,STELFA,700,750,0,Fasteners,Screw,,,,
SHSS312C0006AY  ZICU,5/16-18 X 3/8 SOC HD SET SCREW,BBS,700,100,0,Fasteners,Screw,,,,
SHSS312C0008AY  CU,5/16-18 X 1/2 SOC SET SCS CUP,FITFAST,700,800,0,Fasteners,Screw,,,,
SHSS312C0012SS  CU,5/16-18 X 3/4 SOCKET SET CUP,STR,700,50,0,Fasteners,Screw,,,,
SHSS312C0020BR CU,5/16-18 X 1-1/4 SOC SET CUP,STR,700,"3,000",0,Fasteners,Screw,,,,
SHSS312C0020SS   CU,5/16-18 X 1-1/4 SOC SET CUP PT,STR,000,100,0,Fasteners,Screw,,,,
SHSS312C0024SS CU,5/16-18 X 1 1/2 SOC SET CUP,STR,700,600,0,Fasteners,Screw,,,,
SHSS312C0040AY CU,5/16-18 X 2 1/2 SET SCREW CUP,BBS,700,"1,000",0,Fasteners,Screw,,,,
SHSS375C0004SS CU,3/8-16 X 1/4 SOC SET CUP PT,BRIK,700,544,0,Fasteners,Screw,,,,
SHSS375C0006SS   CU,3/8-16 X 3/8 SOC SET CUP PT,BRIK,700,"4,716",0,Fasteners,Screw,,,,
SHSS375C0006SS  CUBO,3/8-16 X 3/8 SOC SET CUP PT,ACC-SP,701,116,0,Fasteners,Screw,,,,
SHSS375C0006SS KN,3/8-16 X 3/8 SOC SET KNURLED,STR,700,500,0,Fasteners,Screw,,,,
SHSS375C0008AY   FD,3/8-16X1/2 SOC SET SCS FULL,KERR,000,"3,000",0,Fasteners,Screw,,,,
SHSS375C0008SS BOCU,3/8-16X1/2 SOC SET SCS CUP PT,ACC-SP,701,"7,350",0,Fasteners,Screw,,,,
SHSS375C0008SS CU,3/8-16 X 1/2 SOC HD SET SCREW,STR,700,"6,500",0,Fasteners,Screw,,,,
SHSS375C0010SS CPBO,3/8-16X5/8 SOC SET CONE PT S/S,ACC-SP,701,"2,000",0,Fasteners,Screw,,,,
SHSS375C0012AY HD,3/8-16 X 3/4 SOC HD SET SCREW,BBS,700,200,0,Fasteners,Screw,,,,
SHSS375C0012SS CU,3/8-16 X 3/4 SOC SET SCS SS,BRIK,700,800,0,Fasteners,Screw,,,,
SHSS375C0012SS CUBO,3/8-16 X 3/4 SOC SET SCS SS,ACC-SP,701,"10,700",0,Fasteners,Screw,,,,
SHSS375C0012SS CUNP,3/8-16 X 3/4 SOC SET SCS SS,ACC-SP,701,"13,500",0,Fasteners,Screw,,,,
SHSS375C0016SS  BOCU,3/8-16X1 SOC SET SCS CUP PT.,ACC-SP,701,"1,000",0,Fasteners,Screw,,,,
SHSS375C0016SS  CN,3/8-16 X 1 SOCKET SET SCREW,BBS,700,"1,050",0,Fasteners,Screw,,,,
SHSS375C0016SS  CUTP,3/8-16 X 1 SOCKET HEAD SET,TAMPER,700,250,0,Fasteners,Screw,,,,
SHSS375C0020SS   CU,3/8-16 X 1 1/4 SOC HD SET,BRIK,700,0,"2,000",Fasteners,Screw,,,,
SHSS375C0024SS CU,3/8-16 X 1-1/2 SOC SET CUP,STR,700,300,"1,000",Fasteners,Screw,,,,
SHSS375C0028SS   CU,3/8-16 X 1-3/4 SOC SET CUP S/S,BRIK,700,200,0,Fasteners,Screw,,,,
SHSS375C0032SS   CU,3/8-16 X 2 SOC HD SET SCR S/S,STR,700,"1,000",0,Fasteners,Screw,,,,
SHSS375C0032SS  CN,3/8-16 X 2 SOCKET SET SCREW,STR,700,200,0,Fasteners,Screw,,,,
SHSS375C012SS   CU,3/8-16 X 3/4 SOC SET CUP PT,BBS,700,"4,500",0,Fasteners,Screw,,,,
SHSS375C012SS BOCU,3/8-16 X 3/4 SOC SET CUP PT,ACC-SP,701,950,0,Fasteners,Screw,,,,
SHSS375F0008AY CUNP,3/8-24X1/2 SOC SET SCS CUP PT,ACC-SP,701,"7,620",0,Fasteners,Screw,,,,
SHSS500C0006SSKN,1/2-13 X 3/8 SET SCREW KNURLED,CHI,700,50,0,Fasteners,Screw,,,,
SHSS500C0008SS  CUC,1/2-13X1/2 SOC SET SCS CUP PT.,BRIK,700,"3,500",0,Fasteners,Screw,,,,
SHSS500C0024SS  CU,1/2-13 X 1-1/2 SOC SET SCREW,STR,700,200,0,Fasteners,Screw,,,,
SHSS500C0032S1  CU,1/2-13 X 2 SOC SET SCR CUP PT,STR,700,450,0,Fasteners,Screw,,,,
SHSS500C0032SS  CU,"1/2-13 X 2"" SOC SET SCREW SS",STR,700,220,0,Fasteners,Screw,,,,
SHSS500C0048SS  CU,1/2-13 X 3 SOC SET SCREW CUP,STR,700,294,0,Fasteners,Screw,,,,
SHSS500C006AY   CU,1/2-13 X 3/8 SOC SET SCREW CUP,FITFAST,700,300,0,Fasteners,Screw,,,,
SHSSM6X025SS  CU,M6 X 25MM SOC SET SCREW CUP PT,BRIK,700,"1,300",0,Fasteners,Screw,,,,
SHSSM6X030SS  CU,M6 X 30MM SOC SET SCREW CUP,BRIK,700,"1,000",0,Fasteners,Screw,,,,
SHSSM6X035SS  CU,M6 X 35MM SHSS CUP PNT 18-8SS,STR,700,400,0,Hardware & Fittings,Hardware Component,,,,
SHSSM8X035SS CU,M8 X 35MM SOCK SET SCRW CUP PT,BRIK,700,300,"2,000",Fasteners,Screw,,,,
SHSSM8X40 S1 CP,0,STR,700,100,0,Hardware & Fittings,Hardware Component,,,,
SHWHMS010C0019SS,10-24 X 1 3/16 SLOTTED HEX,STR,800,"10,000","50,000",Fasteners,Screw,,,,
SHWHTS008C0024STZI AB,#8-18 X 1 1/2  SLOT HEX WSHR,BBS,700,"5,000",0,Fasteners,Screw,,,,
SHWMS008C0006STZI,8-32 X 3/8 HEX WASHER MS STEEL,HI-Q,700,"3,000",0,Fasteners,Washer,,,,
SHWMS010F0006SS,10-32 X 3/8 SLOT HEX WASHER,BBS,700,"4,466",0,Fasteners,Washer,,,,
SHWMS010F0010SS,10-32 X 5/8 SLOT IND HEX,BBS,700,"10,383",0,Fasteners,Screw,,,,
SHWMS010F0010STZYSER,10-32X5/8 SLOT HEX WSHER HEAD,GOFAST,901-PHIL,0,"200,000",Fasteners,Screw,,,,
SHWMS250C0008SS,1/4-20 X 1/2 SLTD HEX WASH,STR,700,"111,696",0,Fasteners,Bolt,,,,
SHWMS250C0008SS-WF,1/4-20 X 1/2 SLOT HEX WASHER,GOFAST,902-CHAN,"35,500","400,000",Fasteners,Washer,,,,
SHWMS250C0010STZI,1/4-20 X 5/8 SLOTTED HWH MS,KAN,700,25,0,Fasteners,Screw,,,,
SHWTC008C0005ST ZI23,8-32 X 5/16 HEX WASHER HEAD,BEACON,700,"4,300",0,Fasteners,Washer,,,,
SHWTC008C0008STZI 23,8-32 X 1/2 SLOT HEX WASHER,BBS,700,"2,000",0,Fasteners,Washer,,,,
SHWTC008C0008STZI F,8-32 X 1/2 SLOT HEX WASHER,HI-Q,700,"8,800",0,Fasteners,Washer,,,,
SHWTC010C0006STZG F,10-32 X 3/8 SLOT HEX WASH HEAD,KAN,700,"6,500",0,Fasteners,Screw,,,,
SHWTC010F0006ST ZG1,10-32 X 3/8 SLOT HEX WASHER,KAN,700,"7,440",0,Fasteners,Washer,,,,
SHWTS008 0032STZIA,8 X 2 SLOT HEX WASHER TYPE A,BBS,700,200,0,Fasteners,Washer,,,,
SHWTS008 012ST ZIA,"#8 X 3/4 SLOT HWH TYPE ""A""",STELFA,700,"27,000",0,Fasteners,Screw,,,,
SHWTS010 0008ST ZIA,#10 X 1/2 SL HX WSHER HD TYPE,STELFA,700,585,0,Fasteners,Bolt,,,,
SHWTS012 0032STZI A,12 X 2 SLOT HEX WASHER HD,STELFA,700,"2,450",0,Fasteners,Washer,,,,
SHWTS012 0040STZI A,12 X 2 1/2 SLOT HEX WASHER HD,BBS,700,"9,000","859,200",Fasteners,Washer,,,,
SHWTS012 0048STZI A,12 X 3 SLOT HEX WASHER HD,STELFA,700,"60,200","130,200",Fasteners,Washer,,,,
SHWTS014 0016ST ZIA,14 X 1 SLOT HEX WASHER HD TYPE,STELFA,700,"2,500",0,Fasteners,Washer,,,,
SHWTS020 012SS A,#20-9 X 3/4 IND HWH TYPE A,STR,700,0,"9,546",Fasteners,Screw,,,,
SHWTS020 012STZI A,#20-9 X 3/4 IND HWH TYPE A,KWOKTA,901-JAC,0,"100,000",Fasteners,Screw,,,,
SHWTS312 012ST ZIA,5/16 (#20) X 3/4 IND HWH UNSLT,BBS,700,"42,000",0,Fasteners,Screw,,,,
SHXFB060C020SER-SPNP,M6X20 SERRATED HEX FLANGE BLT,KWOKTA,902-HIGHMA,"21,000",0,Hardware & Fittings,Fitting / Valve,,,,
SHZ-1032-375-8-32-AFI-PP,8-32 X .375 BRASS INSERT,CLH,901-BALBOA,"59,000",0,Fasteners,Insert,,,,
SHZ-1032-375-AFI-PP,10-32 .BRASS INSERT 3/8 LONG,STMTAP,901-BALBOA,"88,350","120,000",Fasteners,Insert,,,,
SHZ-3716-625-AFI-PP,3/8-16  X 5/8 BRASS INSERT,STMTAP,901-BALBOA,"53,590","300,000",Fasteners,Insert,,,,
SJ-5012-BLACK,3M CYLINDRICAL FOOT BUMP ON,3M,700,"1,120",0,Hardware & Fittings,Hardware Component,,,,
SJ5012-BLK,SJ5012-BLK 3M **ROHS & REACH,3M,700,"3,536",0,Hardware & Fittings,Hardware Component,,,,
SKC-6060-20,SKC-6060-20 SELF CLINCHING,CAPTIVE,700,"2,900","4,875",Hardware & Fittings,Hardware Component,,,,
SL060010-100-PP,RISER LOWER SEAL 1.5 L X .630,CALIBE,800,"2,400",0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
SL060010-72-PP,CRIMP MOISTURE SEAL PER PRNT,CALIBE,704-RWL,"6,213","5,000",Hardware & Fittings,Seal / Gasket / O-Ring,,,,
SL065010-72-PP,CRIMP MOISTURE SEAL PER PRNT,CALIBE,800,"1,200",0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
SL070050-72-PP,RISER LOWER SEAL 1.5L X .845ID,CALIBE,704-RWL,"4,600","2,500",Hardware & Fittings,Seal / Gasket / O-Ring,,,,
SL070060-72-PP,CRIMP MOISTURE SEAL PER PRT,CALIBE,704-RWL,"10,000","40,000",Hardware & Fittings,Seal / Gasket / O-Ring,,,,
SL075030-75-PP,CRIMP MOISTURE SEAL PRINT,CALIBE,704-RWL,"8,500","20,000",Hardware & Fittings,Seal / Gasket / O-Ring,,,,
SL078030-75-PP,SL078030-75,CALIBE,800,"4,800","5,000",Hardware & Fittings,Hardware Component,,,,
SL078070-75-PP,RISER LOWER SEAL 1.5L X 1.320I,CALIBE,704-RWL,"3,600","10,000",Hardware & Fittings,Seal / Gasket / O-Ring,,,,
SL250200-120-PP,CRIMP MOISTURE SEAL PRINT,CALIBE,800,650,"2,000",Hardware & Fittings,Seal / Gasket / O-Ring,,,,
SLHL004 0004SS,#4-26x.200-.230 SLOT PAN HEAD,WELLFL,901-PHIL,"375,000","500,000",Fasteners,Screw,,,,
SLHS008C0016AYGP CU,#8-32 X 3/16 SLOTTED SET SCREW,ACC-SP,700,500,0,Fasteners,Screw,,,,
SLHS008C0016AYNI OP,#8-32 X 1/2 SLOTTED SET SCREW,ACC-SP,701,"2,200",0,Fasteners,Screw,,,,
SLIS002C0003.5BR,2-56X7/32 .188/.218 SL FILHD,KWOKTA,902-ITT,0,"50,000",Fasteners,Screw,,,,
SLIS002C0003.5BRCY,2-56X7/32 .188/.218 SL FILL,ACC-SP,902-ITT,"30,000",0,Fasteners,Screw,,,,
SLIS002C0003.5STCY,2-56X7/32 SLOT FILL HD INT,ACC-SP,902-ITT,"41,400",0,Fasteners,Screw,,,,
SLIS004C0004BRCOD,4-40X1/4 SLOT FILL HD INT SEMS,ACC-SP,802,"1,000",0,Fasteners,Screw,,,,
SLIS004C0008BRCOD,4-40X1/2 SLOT FILL HD INT SEMS,ACC-SP,702,"1,500",0,Fasteners,Screw,,,,
SLIS004C0010BR,4-40X5/8 SLOT FILL INT TOOTH,GOFAST,902-ITT,"42,200",0,Fasteners,Washer,,,,
SLIS006C0004BRCB,6-32 X 1/4 SLOT FILL INT SEMS,ACC-SP,800,19,0,Fasteners,Screw,,,,
SLIS006C0004BRCOD,6-32 X 1/4 SLOT FILL INT SEMS,ACC-SP,902-ITT,"1,690",0,Fasteners,Screw,,,,
SLIS006C0008BR,6-32 X 1/2 SLOT FILL INT SEMS,GOFAST,902-ITT,"28,250",0,Fasteners,Screw,,,,
SLIS006C0008BRCOD,6-32 X 1/2 SLOT FILL INT SEMS,ACC-SP,902-ITT,"8,000",0,Fasteners,Screw,,,,
SLIS006C0009BR,6-32 X 9/16 SLOT FILL INT SEMS,GOFAST,902-ITT,"25,000",0,Fasteners,Screw,,,,
SLIS006C0009BRCOD,6-32 X 9/16 SLOT FILL INT SEMS,ACC-SP,902-ITT,"3,000",0,Fasteners,Screw,,,,
SLIS006C0012BR,6-32 X 3/4 SLOT FILL INT SEMS,GOFAST,902-ITT,0,"100,000",Fasteners,Screw,,,,
SLIS006C0014BR,6-32 X 7/8 SLOT FILL INT SEMS,GOFAST,902-ITT,"19,120",0,Fasteners,Screw,,,,
SLIS006C0014BRCOD,6-32 X 7/8 SLOT FILL INT SEMS,ACC-SP,902-ITT,"35,000",0,Fasteners,Screw,,,,
SLIS008C0012BRCOD,8-32X3/4 SLOT FILL HD INT SEMS,ACC-SP,902-ITT,295,0,Fasteners,Screw,,,,
SLIS008C0014BRCOD,8-32X7/8 SLOT FILL INT SEMS,ACC-SP,902-ITT,"20,000",0,Fasteners,Screw,,,,
SLIS008C0016BR,8-32 X 1 SLOT FILL HD INT SEMS,GOFAST,902-ITT,0,"100,000",Fasteners,Screw,,,,
SLIS008C0016BRCOD,8-32 X 1 SLOT FILL HD INT SEMS,ACC-SP,902-ITT,"28,140",0,Fasteners,Screw,,,,
SLIS008C0018BRCI,8-32 X 1 1/8 SLT FILL INT SEMS,ACC-SP,902-ITT,"13,680",0,Fasteners,Screw,,,,
SLIS008C0018BRCY,8-32X1-1/8 SLOT FILL INT SEMS,ACC-SP,701,737,0,Fasteners,Screw,,,,
SLIS008C0020BR,8-32 X 1 1/4 SLT FILL INT SEMS,GOFAST,902-ITT,"35,660",0,Fasteners,Screw,,,,
SLIS008C0020BRCOD,8-32 X 1 1/4 SLT FILL INT SEMS,ACC-SP,902-ITT,"28,000",0,Fasteners,Screw,,,,
SLIS008C0024BR,8-32 X 1-1/2 SLOT FILL HD INT,GOFAST,902-ITT,"41,700",0,Fasteners,Screw,,,,
SLIS008C0024BRCOD,8-32 X 1-1/2 SLOT FILL HD INT,ACC-SP,902-ITT,"11,610",0,Fasteners,Screw,,,,
SLIS010F0024BRCOD,10-32X1-1/2 SLOT FILL HD INT,ACC-SP,902-ITT,"16,478",0,Fasteners,Screw,,,,
SLMS002C0002BRNI,2-56 X 1/8 SLOT FILL MS BRASS,ACC-SP,802,200,0,Fasteners,Screw,,,,
SLMS002C0003STZI3,2-56 X 3/16 SLOT FILLISTER MS,KAN,700,"12,000",0,Fasteners,Screw,,,,
SLMS002C0004STCY,2-56 X 1/4 SLOT FILLISTER M/S,ACC-SP,701,200,0,Fasteners,Screw,,,,
SLMS002C0004STZI,2-56X1/4 SLOT FILL HD M/S,KAN,700,"8,800",0,Fasteners,Screw,,,,
SLMS002C0005STCY,2-56X5/16 SLOT FILL HD ST M/S,ACC-SP,701,"8,948",0,Fasteners,Screw,,,,
SLMS002C0007STZI,2-56X7/16 SLOT FILL HD M/S,KAN,701,"2,830",0,Fasteners,Screw,,,,
SLMS002C0008SS,2-56 X 1/2 SLOT FILLISTER M/S,STR,700,200,0,Fasteners,Screw,,,,
SLMS002C0008STZI,2-56 X 1/2 SLOT FILL HD MS STL,KAN,700,"10,032",0,Fasteners,Screw,,,,
SLMS004C00005ST,4-40 X 5/32 SLOT FILLISTER,ACC-SP,701,160,0,Fasteners,Screw,,,,
SLMS004C0003SSDL202,4-40X3/16 SLOT FILL HD M/S S/S,ACC-SP,701,930,0,Fasteners,Screw,,,,
SLMS004C0005ST,4-40X5/16 SLOT FILL HEAD STEEL,KWOKTA,902-ITT,0,"350,000",Fasteners,Screw,,,,
SLMS004C0005STZY3,4-40X5/16 SLOT FILL HEAD STEEL,ACC-SP,902-ITT,"11,000",0,Fasteners,Screw,,,,
SLMS004C0006SSDL202,4-40X3/8 SLOT FILL HD M/S S/S,ACC-SP,701,"1,900",0,Fasteners,Screw,,,,
SLMS004C0006ST,4-40 X 3/8 SLOT FILL HD M/S,WELLFL,902-ITT,"221,170",0,Fasteners,Screw,,,,
SLMS004C0006STCY,4-40 X 3/8 SLOT FILL HD M/S,ACC-SP,902-ITT,"85,000",0,Fasteners,Screw,,,,
SLMS004C0006STZI3,4-40 X 3/8 SLOT FILL HD M/S,ACC-SP,902-ITT,"15,450",0,Fasteners,Screw,,,,
SLMS004C0006STZY3,4-40 X 3/8 SLOT FILL HD M/S,ACC-SP,902-ITT,"40,900",0,Fasteners,Screw,,,,
SLMS004C0008STCY,4-40X1/2 SLOT FILL HD M/S,ACC-SP,701,"7,000",0,Fasteners,Screw,,,,
SLMS004C0008STZI,4-40X1/2 SLOT FILL HD M/S STL.,KAN,700,"10,000",0,Fasteners,Screw,,,,
SLMS004C0010BR,4-40X5/8 SLOT FILL HD M/S,STR,700,"1,000",0,Fasteners,Screw,,,,
SLMS004C0010BRZB,4-40X5/8 SLOT FILL HD M/S,ACC-SP,702,"1,500",0,Fasteners,Screw,,,,
SLMS004C0016STCI,4-40X1 SLOT FILL HD M/S STEEL,ACC-SP,701,"6,400",0,Fasteners,Screw,,,,
SLMS005C0006STNI,5-40 X 3/8 SLOT FILLISTER M/S,WELLFL,901-FEND,"293,780",0,Fasteners,Screw,,,,
SLMS005C0010STNI,5-40 X 5/8 SLOT FILLISTER,ACC-SP,701,"10,000",0,Fasteners,Screw,,,,
SLMS005C0012STNI,5-40 X 3/4 SLOT FILLISTER M/S,ACC-SP,700,"5,000",0,Fasteners,Screw,,,,
SLMS006C0008BR,6-32 X 1/2 SLT FILL HD MS,STR,700,"2,490",0,Fasteners,Screw,,,,
SLMS006C0008STCI,6-32 X 1/2 SLOT FILL MS STL,ACC-SP,701,"5,000",0,Fasteners,Screw,,,,
SLMS006C0009BREN,6-32X9/16 SLOT FIL M/S,ACC-SP,701,200,0,Fasteners,Screw,,,,
SLMS006C0009BRZB,6-32X9/16 SLOT FILL HD BRASS,ACC-SP,801,"6,260",0,Fasteners,Screw,,,,
SLMS006C0012BR,6-32 X 3/4 SLOT FILL HD MS,KSC,700,0,"25,000",Fasteners,Screw,,,,
SLMS006C0012BRZB,6-32 X 3/4 SLOT FILL HD MS,ACC-SP,701,"9,790",0,Fasteners,Screw,,,,
SLMS006C0014BRZB,6-32X7/8 SLOT FILL HD M/S,ACC-SP,701,"1,098",0,Fasteners,Screw,,,,
SLMS006C0020STNI,6-32 X 1-1/4 SLOTTED,ACC-SP,701,"2,100",0,Fasteners,Screw,,,,
SLMS008C0010STZI,8-32X5/8 SLOT FILL HD M/S,BBS,700,"1,000",0,Fasteners,Screw,,,,
SLMS008C0012SS,8-32 X 3/4 SLOTTED FILLISTER,STR,700,"2,000",0,Fasteners,Screw,,,,
SLMS008C0014BR,8-32X7/8 SLOT FILL HD M/S,STR,700,120,0,Fasteners,Screw,,,,
SLMS008C0014BRZB,8-32X7/8 SLOT FILL HD M/S,ACC-SP,701,"2,500",0,Fasteners,Screw,,,,
SLMS008C0016BR,8-32X1 SLOT FILL HD M/S BRASS,STR,700,393,0,Fasteners,Screw,,,,
SLMS008C0016BRZB,8-32X1 SLOT FILL HD M/S BRASS,ACC-SP,701,250,0,Fasteners,Screw,,,,
SLMS250C0008SSBO,1/4-20 X 1/2 SLOTTED FILLISTER,ACC-SP,701,500,0,Fasteners,Screw,,,,
SLMS250C0012SS,1/4-20 X 3/4 SLOT FILLISTER HD,BRIK,700,"1,750",0,Fasteners,Screw,,,,
SLSS006C0002AYNICU,6-32 X 1/8 SLOT SET SCREW CUP,ACC-SP,701,"3,500",0,Fasteners,Screw,,,,
SLSS006C0006AYNI OV,6-32 X 3/8 SLOT SET SCREW OVAL,ACC-SP,701,"6,582",0,Fasteners,Screw,,,,
SLSS006C0007AYNI OV,6-32 X 7/16 SLOT SET SCREW,WELLFL,901-FEND,"72,354",0,Fasteners,Screw,,,,
SLSS008C0003STNI CU,8-32 X 3/16 SLOTTED SET SCREW,WELLFL,901-FEND,"127,800",0,Fasteners,Screw,,,,
SLSS010C0010STZI3-PP,10-24 X 5/8 SLT FILLISTER HEAD,GOFAST,902-IMP,0,"500,000",Fasteners,Screw,,,,
SLSS010C0010STZIIMP,10-24 X 5/8 SLT FILLISTER HEAD,RHYNO,800,5,0,Fasteners,Screw,,,,
SLSS012C0010STZI,12-24 X 5/8 SLOT FILLISTER,KWOKTA,902-IMP,0,"40,000",Fasteners,Screw,,,,
SLSS312C0020AYCPZY3,5/16-18X 1-1/4 SLOTTED SET,ACC-SP,801,"4,660",0,Fasteners,Screw,,,,
SLSS312C008STFEZN8NP,5/16-18X1/2 SLOT SET SCEW CUP,GOFAST,901-PHIL,"107,350",0,Fasteners,Screw,,,,
SLU-35,PENN-UNION OR EQUAL,PENN,800,"2,500",0,Hardware & Fittings,Hardware Component,,,,
SMTSO-256-8ET,2-56 X 1/4 SURFACE MOUNT,MOUSER,700,250,0,Hardware & Fittings,Hardware Component,,,,
SO6323SBL-NZ,SLAB BASE TNUT #6-32 WITH,STAFAS,800,"1,650","112,000",Hardware & Fittings,Hardware Component,,,,
SO632-8,6-32X1/4 STANDOFF STEEL ZINC,HI-Q,700,500,0,Fasteners,Spacer / Standoff,,,,
SOMS006C0008SSBO,6-32X1/2 SLOT OVAL HD M/S S/S,ACC-SP,701,600,0,Fasteners,Screw,,,,
SOMS006C0008STZI,6-32 X 1/2 SLOTTED OVAL HD M/S,BBS,700,"2,400",0,Fasteners,Screw,,,,
SOTS004 0008STNI A,4 X 1/2 SLOT OVAL TAPPING,ACC-SP,701,"19,600",0,Fasteners,Screw,,,,
SOTS008 028STNI A-W,8 X 1 3/4 SLOT OVAL SMS TYPE A,KWOKTA,902-FEND,"30,000",0,Fasteners,Screw,,,,
SOWS005 010STNI,5 X 5/8 SLOT OVAL WOOD SCREW,KWOKTA,901-FEND,"7,100","50,000",Fasteners,Screw,,,,
SOWS006 016STNIW,6 X 1 SLOT OVAL WOOD SCREW,ACC-SP,701,"17,200",0,Fasteners,Screw,,,,
SP0055Z1-H,* HAYWARD STOCK BEING RETURNED,HAYWAR,700,200,0,Raw Materials & Metals,Raw Material,,,,
SP-0073-BK,"1/4"" X 3/4"" UNTHREADED SPACER",VIP,700,0,"5,000",Fasteners,Spacer / Standoff,,,,
SP0410J-PP,SP0410J PER PRINT VALVE STEM,GOFAST,901-HAY,"1,527","9,251",Hardware & Fittings,Fitting / Valve,,,,
SP0540Z17-PP,SPRING WASHER PER PRINT REV A,SWG,700,"1,000",0,Fasteners,Washer,,,,
SP0540Z5-PP,DBL ENDED SCREW PER PRINT,CSMFAS,800,37,0,Fasteners,Screw,,,,
SP0580Z1-PP,10-24 X 1.38 PHIL RND MS WITH,TRIEM,800,"2,000",0,Fasteners,Screw,,,,
SP0600D-H,* HAYWARD STOCK BEING RETURNED,HAYWAR,HAY-INV,"1,049",0,Raw Materials & Metals,Raw Material,,,,
SP0600D-PP,GROUND BRACKET 316 SS 16 GA,GOFAST,901-HAY,"3,883","10,000",Hardware & Fittings,Hardware Component,,,,
SP0600EA-PP,GROUND CONNECTOR WITH SCREWS,WESTV,901-HAY,"3,309","2,000",Electrical & Wiring,Connector,,,,
SP0601B-PP,GROUND BRACKET - SPA 316,GOFAST,901-HAY,"1,411",0,Hardware & Fittings,Hardware Component,,,,
SP0601EA1-PP,ASSY-BONDING GROUNG C95400,WESTV,901-HAY,"2,005",0,Hardware & Fittings,Hardware Component,,,,
SP0603S-PP,SPRING-COMPRESSION REVISION L,STERL,901-HAY,"13,614","135,122",Springs & Clips,Spring,,,,
SP0607Z1A,SP1030Z1L= 10  SP1411Z4= 2,ACC-SP,901-HAYKIT,"1,500",0,Hardware & Fittings,Hardware Component,,,,
SP0608B-REV-C,GROUND BRACKET PER PRINT,GOFAST,901-HAY,"1,736",0,Hardware & Fittings,Hardware Component,,,,
SP0608Z2A,10 X 1 PHL FLAT TYPE B SMS 316,ACC-SP,600,"2,379",0,Fasteners,Screw,,,,
SP0710Z2-PP,1/4-20 HEX NUT WITH SERRATIONS,SHYAM,901-HAYEND,"18,000","400,000",Fasteners,Nut,,,,
SP0803Z2A,PAK-SCREW SET OF12#13-9X1.25IN,ACC-SP,901-HAYKIT,500,0,Fasteners,Screw,,,,
SP1030Z2A-H,* HAYWARD STOCK BEING RETURNED,HAYWAR,700,678,0,Raw Materials & Metals,Raw Material,,,,
SP1039Z1A,SP1039Z1 =4,ACCU-WO,901-HAYKIT,"2,600",0,Hardware & Fittings,Hardware Component,,,,
SP1039Z1A-1,SP1039Z1-DEV =4,ACCU-WO,901-HAYKIT,175,0,Hardware & Fittings,Hardware Component,,,,
SP1040D-PP,ANCHOR BODY SHAFT 316 S/S,GMC,800,324,0,Fasteners,Anchor,,,,
SP1070-EZ-REV-C,.156 DIA X 7.93 L. ROD 300,GDW,800,"15,058","10,632",Fasteners,Rod / Stud,,,,
SP1070GW-PP,"WELDMENT, BONDING KIT",MINGHAI,902-HAY,4,0,Hardware & Fittings,Kit,,,,
SP1070HR-REV A,PAD SQUARE 1/2 X 1.0 PER PRINT,LAMATEK,800,"11,520","36,864",Miscellaneous/MRO,Custom / Print Part,,,,
SP1070Z3A,HARDWARE KIT LABLED WITH,ACCU-WO,600,"13,229",0,Hardware & Fittings,Kit,,,,
SP1070-Z4-REV-A,6035-3BR 10-24 X .225 LONG,PENCOM,800,"34,000","80,000",Miscellaneous/MRO,Custom / Print Part,,,,
SP1071KF-REV-B,220 WHITE ETHAFOAM CUT PCS NOT,POLYPL,800,"11,700","40,000",Miscellaneous/MRO,Custom / Print Part,,,,
SP1082H1-HAYWARD,HAYWARD SUPPLIED ITEM,HAYWAR,700,571,0,Hardware & Fittings,Hardware Component,,,,
SP1084Z4AM,SP1030Z1= 12  SP1411Z4= 2,ACCU-WO,901-HAYEND,"5,884",0,Hardware & Fittings,Hardware Component,,,,
SP1085Z1A-H,* HAYWARD STOCK BEING RETURNED,HAYWAR,HAY-INV,400,0,Raw Materials & Metals,Raw Material,,,,
SP1085Z1AM,SP1030Z1 = 16  SP1411Z4= 4,ACCU-WO,901-HAYEND,"11,766",0,Hardware & Fittings,Hardware Component,,,,
SP1091Z6-H,* HAYWARD STOCK BEING RETURNED,HAYWAR,HAY-INV,993,0,Raw Materials & Metals,Raw Material,,,,
SP1096KS-PP,SPRING PER PRINT SP1096KS NO,STERL,800,"17,553","40,000",Springs & Clips,Spring,,,,
